"text"	"tag"	"value"	"order"	"tar_flg"	"tag_pair"	"value_pair"	"order_pair"
"SNT.80188.1"	"adp"	"၌"	7	1	"noun"	"ပရင့်စက်"	6
"SNT.80188.1"	"adp"	"တွင်"	13	1	"noun"	"ဖလား"	12
"SNT.80188.1"	"adp"	"တွင်"	26	1	"noun"	"စီ"	25
"SNT.80188.2"	"adp"	"တွင်"	13	1	"noun"	"မိနစ်"	12
"SNT.80188.4"	"adp"	"တွင်"	16	1	"noun"	"မိနစ်"	15
"SNT.80188.5"	"adp"	"၌"	4	1	"noun"	"ပထမပိုင်း"	3
"SNT.80188.5"	"adp"	"တွင်"	16	1	"noun"	"ဒုတိယပိုင်း"	14
"SNT.80188.7"	"adp"	"၌"	5	1	"noun"	"စီ"	4
"SNT.80188.7"	"adp"	"တွင်"	17	1	"noun"	"စက်တင်ဘာ"	15
"SNT.80188.9"	"adp"	"တွင်"	9	1	"noun"	"နောက်"	8
"SNT.80188.9"	"adp"	"တွင်"	17	1	"noun"	"အောက်ဆုံး"	16
"SNT.87564.10"	"adp"	"တွင်"	27	1	"noun"	"အိုင်အိုဝါ"	26
"SNT.87564.12"	"adp"	"၌"	8	1	"noun"	"ယူတီစီ"	7
"SNT.87564.13"	"adp"	"တွင်"	6	1	"noun"	"လ"	5
"SNT.87564.13"	"adp"	"တွင်"	23	1	"noun"	"နိုင်ငံ"	22
"SNT.87564.14"	"adp"	"တွင်"	9	1	"noun"	"အမတ်"	2
"SNT.87564.16"	"adp"	"တွင်"	2	1	"noun"	"ဗြိတိန်"	1
"SNT.37376.18"	"adp"	"၌"	3	1	"noun"	"ပင်လယ်ကွေ့"	2
"SNT.37376.18"	"adp"	"တွင်"	30	1	"noun"	"ရက်"	29
"SNT.37376.18"	"adp"	"၌"	33	1	"noun"	"လွှတ်တော်"	32
"SNT.37376.19"	"adp"	"တွင်"	27	1	"noun"	"ပိုင်နက်"	26
"SNT.37376.19"	"adp"	"တွင်"	32	1	"noun"	"အခြေအနေ"	30
"SNT.37376.19"	"adp"	"မှာ"	48	1	"noun"	"အလုပ်"	47
"SNT.37376.19"	"adp"	"တွင်"	85	1	"noun"	"မေးချိန်"	84
"SNT.37376.20"	"adp"	"တွင်"	11	1	"noun"	"နေ့"	10
"SNT.37376.20"	"adp"	"၌"	17	1	"noun"	"သင်္ဘော"	12
"SNT.37376.21"	"adp"	"မှာ"	15	1	"noun"	"အမှတ်အသား"	11
"SNT.37376.21"	"adp"	"တွင်"	50	1	"noun"	"သြစတြေးလျ"	46
"SNT.37376.22"	"adp"	"တွင်"	2	1	"noun"	"နောက်ပိုင်း"	1
"SNT.37376.23"	"adp"	"တွင်"	20	1	"noun"	"နေရာ"	19
"SNT.37376.23"	"adp"	"တွင်"	50	1	"noun"	"နေရာ"	48
"SNT.37376.23"	"adp"	"၌"	53	1	"noun"	"ကာကွယ်ရေး"	52
"SNT.17609.24"	"adp"	"မှာ"	12	1	"noun"	"နေ့"	11
"SNT.17609.25"	"adp"	"မှာ"	13	1	"noun"	"အနား"	12
"SNT.193201.26"	"adp"	"မှာ"	5	1	"noun"	"ပြေးလမ်း"	4
"SNT.193201.26"	"adp"	"မှာ"	14	1	"noun"	"နေ့"	13
"SNT.193201.26"	"adp"	"မှာ"	33	1	"noun"	"ပြိုင်ပွဲ"	32
"SNT.193201.27"	"adp"	"မှာ"	12	1	"noun"	"ပွဲ"	11
