"text","tag","value","order","tar_flg","tag_noun","value_noun","order_noun","tag_verb","value_verb","order_verb"
"SNT.80188.1","adp","၌",7,1,"noun","ပရင့်စက်",6,NA,NA,NA
"SNT.80188.1","adp","တွင်",13,1,"noun","ပရင့်စက်",6,"verb","ရေကူး",23
"SNT.80188.1","adp","တွင်",26,1,"noun","စီ",25,"verb","ရှုံးနိမ့်",27
"SNT.80188.2","adp","တွင်",13,1,"noun","မိနစ်",12,"verb","ပေး",15
"SNT.80188.4","adp","တွင်",16,1,"noun","မိနစ်",15,"verb","ကစား",20
"SNT.80188.5","adp","၌",4,1,"noun","ပထမပိုင်း",3,"verb","ဦးဆောင်",9
"SNT.80188.5","adp","တွင်",16,1,"noun","ဒုတိယပိုင်း",14,"verb","ညီ",19
"SNT.80188.7","adp","၌",5,1,"noun","စီ",4,"verb","ဖြစ်",10
"SNT.80188.7","adp","တွင်",17,1,"noun","စက်တင်ဘာ",15,"verb","ရရှိ",19
"SNT.80188.9","adp","တွင်",9,1,"noun","နောက်",8,"verb","ရှိ",12
"SNT.80188.9","adp","တွင်",17,1,"noun","အောက်ဆုံး",16,"verb","ရှိ",18
"SNT.87564.10","adp","တွင်",27,1,"noun","အိုင်အိုဝါ",26,"verb","ပျောက်ဆုံး",28
"SNT.87564.12","adp","၌",8,1,"noun","ယူတီစီ",7,"verb","ရှိ",11
"SNT.87564.13","adp","တွင်",6,1,"noun","လ",5,"verb","ဆုံးရှုံး",18
"SNT.87564.13","adp","တွင်",23,1,"noun","နိုင်ငံ",22,"verb","ကျ",27
"SNT.87564.14","adp","တွင်",9,1,"noun","အမတ်",2,"verb","ပျောက်ဆုံး",13
"SNT.87564.16","adp","တွင်",2,1,"noun","ဗြိတိန်",1,"verb","တိကျ",7
"SNT.37376.18","adp","၌",3,1,"noun","ပင်လယ်ကွေ့",2,"verb","ပြန့်",7
"SNT.37376.18","adp","တွင်",30,1,"noun","ရက်",29,NA,NA,NA
"SNT.37376.18","adp","၌",33,1,"noun","ရက်",29,"verb","ပြုလုပ်",34
