"value","value_pair","count"
"၌","နေရာ",40
"၌","နေ့",29
"၌","အတွင်း",25
"၌","မြို့",23
"၌","အချိန်",21
"၌","နိုင်ငံ",20
"၌","ပွဲ",18
"၌","ဆေးရုံ",17
"၌","ခုနှစ်",16
"၌","ပြိုင်ပွဲ",16
"၌","ကွင်း",15
"၌","တရားရုံး",15
"၌","အစည်းအဝေး",15
"၌","ပြည်နယ်",14
"၌","နာရီ",13
"၌","တက္ကသိုလ်",11
"၌","မိနစ်",11
"၌","ရက်",11
"၌","ရုံ",11
"၌","လ",11
"၌","ယူတီစီ",10
"၌","ညီလာခံ",8
"၌","နောက်ဆုံး",8
"၌","ဟိုတယ်",8
"၌","ကာလ",7
"၌","စင်တာ",7
"၌","ဒေသ",7
"၌","လေဆိပ်",7
"၌","အဆင့်",7
"၌","အပေါ်",7
"၌","ကျောင်း",6
"၌","အဆုံး",6
"၌","အဖွဲ့အစည်း",6
"၌","အောက်",6
"၌","ကျွန်း",5
"၌","စခန်း",5
"၌","စာ",5
"၌","ဌာန",5
"၌","နှစ်",5
"၌","နောက်ပိုင်း",5
"၌","ပြည်ထောင်စု",5
"၌","ပွဲတော်",5
"၌","ရာခိုင်နှုန်း",5
"၌","လွှတ်တော်",5
"၌","လူ",5
"၌","ဝန်းကျင်",5
"၌","အစီအစဉ်",5
"၌","အစောပိုင်း",5
"၌","အီရတ်",5
"၌","ကုမ္ပဏီ",4
"၌","စက်ရုံ",4
"၌","စံတော်ချိန်",4
"၌","ည",4
"၌","တစ်ဝက်",4
"၌","နေအိမ်",4
"၌","နောက်",4
"၌","ပါကစ္စတန်",4
"၌","ပါလီမန်",4
"၌","မြို့တော်",4
"၌","လန်ဒန်",4
"၌","လုပ်ငန်း",4
"၌","အခြေအနေ",4
"၌","အစ",4
"၌","အမှု",4
"၌","အသင်း",4
"၌","အိမ်",4
"၌","ဧရိယာ",4
"၌","ကြား",3
"၌","ခန်းမ",3
"၌","ထိပ်ဆုံး",3
"၌","ဒေသတွင်း",3
"၌","ပင်လယ်ကွေ့",3
"၌","ဗုံး",3
"၌","ဘရာဇီး",3
"၌","မနက်",3
"၌","မနက်ပိုင်း",3
"၌","မိုင်",3
"၌","ရပ်ကွက်",3
"၌","သစ်တော",3
"၌","အကြား",3
"၌","အခမ်းအနား",3
"၌","အင်တာဗျူး",3
"၌","အနီး",3
"၌","အနီးအနား",3
"၌","အရွယ်",3
"၌","အာဖဂန်နစ္စတန်",3
"၌","ကနဦး",2
"၌","ကျန်းမာရေး",2
"၌","ကား",2
"၌","ကိုယ်စားလှယ်",2
"၌","ကောင်းကင်",2
"၌","ဂျပန်",2
"၌","စကော့တလန်",2
"၌","စီမံကိန်း",2
"၌","တစ်ဝန်း",2
"၌","တောင်ပိုင်း",2
"၌","နံနက်",2
"၌","နယ်ပယ်",2
"၌","နယ်မြေ",2
"၌","နိုဝင်ဘာ",2
"၌","နေ့ရက်",2
"၌","နောက်ကွယ်",2
"၌","ပင်လယ်",2
"၌","ပင်လယ်ပြင်",2
"၌","ပထမပိုင်း",2
"၌","ပန်းခြံ",2
"၌","ပွဲစဉ်",2
"၌","ပေ",2
"၌","ဖြစ်စဉ်",2
"၌","ဗလီ",2
"၌","ဘုရားကျောင်း",2
"၌","မှတ်တမ်း",2
"၌","မုန်တိုင်း",2
"၌","ယခု",2
"၌","ရွေးကောက်ပွဲ",2
"၌","ရှေ့",2
"၌","ရုပ်မြင်သံကြား",2
"၌","ရဲတိုက်",2
"၌","လက်",2
"၌","လမ်းဆုံ",2
"၌","လုပ်ငန်းခွင်",2
"၌","လုပ်ငန်းစဉ်",2
"၌","လူဇင်ဘတ်",2
"၌","လူမျိုး",2
"၌","လေယာဉ်",2
"၌","သတင်း",2
"၌","သတ္တုတွင်း",2
"၌","သမိုင်း",2
"၌","သီတင်းပတ်",2
"၌","ဟိုနိုလုလု",2
"၌","အကျဉ်းထောင်",2
"၌","အချက်",2
"၌","အခါ",2
"၌","အင်္ဂလန်",2
"၌","အဆောက်အဦး",2
"၌","အနည်းငယ်",2
"၌","အဘူဒါဘီ",2
"၌","အမှတ်",2
"၌","အမိန့်",2
"၌","အလယ်ပိုင်း",2
"၌","အလို",2
"၌","အိုလံပစ်",2
"၌","အီရန်",2
"၌","ကစားပွဲ",1
"၌","ကဇာတ်ရုံ",1
"၌","ကဏ္ဍ",1
"၌","ကတိ",1
"၌","ကန်",1
"၌","ကန်ဘာရာ",1
"၌","ကမ္ဘာ",1
"၌","ကမ္ဘာလုံး",1
