"value","value_noun","value_verb","count"
"၌","နေ့",NA,12
"၌","ခုနှစ်",NA,8
"၌","နေရာ","ရှိ",6
"၌","ရက်",NA,6
"၌","အချိန်",NA,6
"၌","နှစ်",NA,5
"၌","ပွဲ",NA,4
"၌","ရုံ",NA,4
"၌","ခုနှစ်","ကျင်းပ",3
"၌","ဆေးရုံ","သေဆုံး",3
"၌","တစ်ဝက်",NA,3
"၌","နိုင်ငံ",NA,3
"၌","နေရာ",NA,3
"၌","မြို့",NA,3
"၌","မိနစ်",NA,3
"၌","အချိန်","ရှိ",3
"၌","အတွင်း",NA,3
"၌","အောက်","ရှိ",3
"၌","ကျွန်း",NA,2
"၌","ခုနှစ်","တရားဝင်",2
"၌","ခုနှစ်","ဖြစ်",2
"၌","ခုနှစ်","ရှိ",2
"၌","ခုနှစ်","သေဆုံး",2
"၌","စင်တာ","စမ်းသပ်",2
"၌","စင်တာ",NA,2
"၌","ည","သေဆုံး",2
"၌","တက္ကသိုလ်","ဖြစ်",2
"၌","တက္ကသိုလ်",NA,2
"၌","တစ်ဝက်","ဦးဆောင်",2
"၌","နံနက်ပိုင်း",NA,2
"၌","နှစ်","သေဆုံး",2
"၌","နာရီ","ရှိ",2
"၌","နေ့","စတင်",2
"၌","နေ့","ဖြစ်",2
"၌","နေ့","ရှိ",2
"၌","နေရာ","ဖြစ်",2
"၌","နောက်ဆုံး",NA,2
"၌","နောက်ပိုင်း","သေဆုံး",2
"၌","ပညာရေး",NA,2
"၌","ပြည်နယ်",NA,2
"၌","ပြိုင်ပွဲ","ရရှိ",2
"၌","ပြိုင်ပွဲ",NA,2
"၌","မြို့တော်","ရှိ",2
"၌","ရက်","ရှိ",2
"၌","လ","တွေ့",2
"၌","လူဇင်ဘတ်",NA,2
"၌","အချိန်","လုပ်",2
"၌","အစည်းအဝေး","ပြောကြား",2
"၌","အပေါ်",NA,2
"၌","အဖွဲ့အစည်း","စီစဉ်",2
"၌","အိမ်","သေဆုံး",2
"၌","ကစားပွဲ","တက်ရောက်",1
"၌","ကဇာတ်ရုံ","ရှိ",1
"၌","ကဏ္ဍ",NA,1
"၌","ကတိ","ကျန်",1
"၌","ကနဦး","လောင်",1
"၌","ကနဦး",NA,1
"၌","ကန်","ပေါက်ကွဲ",1
"၌","ကန်ဘာရာ","တောမီးလောင်",1
"၌","ကမ္ဘာ","ဖြစ်",1
"၌","ကမ္ဘာလုံး","ဖြစ်ပွား",1
"၌","ကမ်းခြေ","ဖွက်",1
"၌","ကမ်းခြေ","ရှိ",1
"၌","ကမ်းဘရီးရာ","ရှာဖွေ",1
"၌","ကမ်းမြောင်ဒေသ",NA,1
"၌","ကျွန်း","ထုတ်",1
"၌","ကျွန်း","ပစ်ခတ်",1
