,value,value_pair,count
510,တွင်,နေ့,616
511,တွင်,ခုနှစ်,420
512,တွင်,လ,269
513,တွင်,နေရာ,264
514,တွင်,နိုင်ငံ,195
515,တွင်,ရက်,141
516,တွင်,မြို့,135
517,တွင်,အောက်,131
518,တွင်,အချိန်,128
519,တွင်,ပွဲ,108
520,တွင်,နှစ်,105
521,တွင်,နောက်ပိုင်း,99
522,တွင်,ပြိုင်ပွဲ,98
523,တွင်,အတွင်း,87
524,တွင်,အပေါ်,84
525,တွင်,ရွေးကောက်ပွဲ,76
526,တွင်,ဒေသ,73
527,တွင်,အစောပိုင်း,73
528,တွင်,ပြည်နယ်,65
529,တွင်,မိနစ်,64
530,တွင်,နောက်ဆုံး,59
531,တွင်,စာ,58
532,တွင်,အနီး,55
533,တွင်,နာရီ,54
534,တွင်,အခြေအနေ,54
535,တွင်,အစီအစဉ်,49
536,တွင်,နယ်မြေ,47
537,တွင်,အပိုင်း,41
538,တွင်,ပွဲစဉ်,40
539,တွင်,အကြာ,38
540,တွင်,တရားရုံး,37
541,တွင်,သတင်း,37
542,တွင်,အဖွဲ့,37
543,တွင်,ကိစ္စ,36
544,တွင်,စာရင်း,35
545,တွင်,အီရတ်,35
546,တွင်,ကြား,34
547,တွင်,မြို့တော်,33
548,တွင်,ယနေ့,33
549,တွင်,အပြီး,33
550,တွင်,ပြည်ထောင်စု,32
551,တွင်,ဝန်းကျင်,32
552,တွင်,ရာသီ,31
553,တွင်,ကျောင်း,30
554,တွင်,တစ်လျှောက်,30
555,တွင်,နောက်,30
556,တွင်,အစည်းအဝေး,30
557,တွင်,အဆင့်,29
558,တွင်,အကြား,28
559,တွင်,ဖြစ်ရပ်,27
560,တွင်,ယခု,27
561,တွင်,သမိုင်း,27
562,တွင်,အပြင်ဘက်,27
563,တွင်,မှတ်တမ်း,26
564,တွင်,အနာဂတ်,26
565,တွင်,လုပ်ငန်း,25
566,တွင်,သူ,25
567,တွင်,အမှု,25
568,တွင်,အသစ်,25
569,တွင်,ည,23
570,တွင်,နံနက်,23
571,တွင်,လူ,23
572,တွင်,ကာလ,22
573,တွင်,စခန်း,22
574,တွင်,ဆေးရုံ,22
575,တွင်,တစ်ဝက်,22
576,တွင်,အခမ်းအနား,21
577,တွင်,ဥပဒေ,21
578,တွင်,ညီလာခံ,20
579,တွင်,အိမ်,20
580,တွင်,နယ်ပယ်,19
581,တွင်,လေယာဉ်,19
