,value,value_pair,count
440,တွင်,,769
441,တွင်,ရှိ,488
442,တွင်,ဖြစ်,316
443,တွင်,ပါဝင်,255
444,တွင်,သေဆုံး,169
445,တွင်,စတင်,126
446,တွင်,ဖြစ်ပွား,125
447,တွင်,ရရှိ,121
448,တွင်,ကျင်းပ,101
449,တွင်,ပြုလုပ်,84
450,တွင်,တိုက်ခိုက်,83
451,တွင်,ဖော်ပြ,76
452,တွင်,နေထိုင်,73
453,တွင်,ပြောကြား,71
454,တွင်,ရ,69
455,တွင်,ရောက်,65
456,တွင်,တွေ့,63
457,တွင်,ကစား,62
458,တွင်,တည်ရှိ,62
459,တွင်,ပေး,62
460,တွင်,အသုံးပြု,62
461,တွင်,ပြော,61
462,တွင်,ဖမ်းဆီး,60
463,တွင်,လုပ်ဆောင်,56
464,တွင်,လုပ်,55
465,တွင်,ထုတ်,51
466,တွင်,ပေါက်ကွဲ,51
467,တွင်,ကျော်,50
468,တွင်,များ,43
469,တွင်,ဦးဆောင်,43
470,တွင်,ကြာ,40
471,တွင်,ပို,40
472,တွင်,အနိုင်ရ,40
473,တွင်,ထုတ်ပြန်,38
474,တွင်,ရှာဖွေ,38
475,တွင်,ကြော်ငြာ,36
476,တွင်,ဆန့်ကျင်,36
477,တွင်,လုံခြုံ,36
478,တွင်,အကြမ်းဖက်,36
479,တွင်,ဝင်ရောက်,33
480,တွင်,ထား,32
481,တွင်,တိုက်,31
482,တွင်,ထိန်းသိမ်း,31
483,တွင်,ပိတ်,31
484,တွင်,ပြသ,30
485,တွင်,တရားဝင်,29
486,တွင်,ပိုမို,29
487,တွင်,ပြင်းထန်,28
488,တွင်,လာ,28
489,တွင်,သဘောတူ,28
490,တွင်,အောင်မြင်,28
491,တွင်,ကျဆင်း,27
492,တွင်,မွေးဖွား,27
493,တွင်,ယူ,27
494,တွင်,အတည်ပြု,27
495,တွင်,ဆွေးနွေး,26
496,တွင်,ဆိုင်,26
497,တွင်,တိုးတက်,26
498,တွင်,ထမ်းဆောင်,26
499,တွင်,လှုပ်ရှား,26
500,တွင်,သတ်မှတ်,26
501,တွင်,အသတ်ခံ,26
502,တွင်,ကျ,25
503,တွင်,ကြေညာ,25
504,တွင်,ကွယ်လွန်,25
505,တွင်,တွေ့ဆုံ,25
506,တွင်,ထောက်ပံ့,25
507,တွင်,ပြောင်းလဲ,25
508,တွင်,ပေါ်,25
509,တွင်,သက်ရောက်,25
510,တွင်,ထိခိုက်,24
