,value,value_pair,count
0,၌,နေရာ,40
1,၌,နေ့,29
2,၌,အတွင်း,25
3,၌,မြို့,23
4,၌,အချိန်,21
5,၌,နိုင်ငံ,20
6,၌,ပွဲ,18
7,၌,ဆေးရုံ,17
8,၌,ခုနှစ်,16
9,၌,ပြိုင်ပွဲ,16
10,၌,ကွင်း,15
11,၌,တရားရုံး,15
12,၌,အစည်းအဝေး,15
13,၌,ပြည်နယ်,14
14,၌,နာရီ,13
15,၌,တက္ကသိုလ်,11
16,၌,မိနစ်,11
17,၌,ရက်,11
18,၌,ရုံ,11
19,၌,လ,11
20,၌,ယူတီစီ,10
21,၌,ညီလာခံ,8
22,၌,နောက်ဆုံး,8
23,၌,ဟိုတယ်,8
24,၌,ကာလ,7
25,၌,စင်တာ,7
26,၌,ဒေသ,7
27,၌,လေဆိပ်,7
28,၌,အဆင့်,7
29,၌,အပေါ်,7
30,၌,ကျောင်း,6
31,၌,အဆုံး,6
32,၌,အဖွဲ့အစည်း,6
33,၌,အောက်,6
34,၌,ကျွန်း,5
35,၌,စခန်း,5
36,၌,စာ,5
37,၌,ဌာန,5
38,၌,နှစ်,5
39,၌,နောက်ပိုင်း,5
40,၌,ပြည်ထောင်စု,5
41,၌,ပွဲတော်,5
42,၌,ရာခိုင်နှုန်း,5
43,၌,လွှတ်တော်,5
44,၌,လူ,5
45,၌,ဝန်းကျင်,5
46,၌,အစီအစဉ်,5
47,၌,အစောပိုင်း,5
48,၌,အီရတ်,5
49,၌,ကုမ္ပဏီ,4
50,၌,စက်ရုံ,4
51,၌,စံတော်ချိန်,4
52,၌,ည,4
53,၌,တစ်ဝက်,4
54,၌,နေအိမ်,4
55,၌,နောက်,4
56,၌,ပါကစ္စတန်,4
57,၌,ပါလီမန်,4
58,၌,မြို့တော်,4
59,၌,လန်ဒန်,4
60,၌,လုပ်ငန်း,4
61,၌,အခြေအနေ,4
62,၌,အစ,4
63,၌,အမှု,4
64,၌,အသင်း,4
65,၌,အိမ်,4
66,၌,ဧရိယာ,4
67,၌,ကြား,3
68,၌,ခန်းမ,3
69,၌,ထိပ်ဆုံး,3
70,၌,ဒေသတွင်း,3
71,၌,ပင်လယ်ကွေ့,3
72,၌,ဗုံး,3
