,value,value_pair,count
0,၌,,166
1,၌,ရှိ,65
2,၌,ဖြစ်,38
3,၌,သေဆုံး,33
4,၌,ကစား,14
5,၌,ပါဝင်,13
6,၌,ဖြစ်ပွား,13
7,၌,တွေ့,12
8,၌,ရရှိ,12
9,၌,အသုံးပြု,12
10,၌,စတင်,11
11,၌,ကျင်းပ,9
12,၌,နေထိုင်,9
13,၌,ပြော,9
14,၌,ရောက်,9
15,၌,လုပ်,8
16,၌,ပြောကြား,7
17,၌,ပေါက်ကွဲ,7
18,၌,ရှာဖွေ,7
19,၌,လုပ်ဆောင်,7
20,၌,ဆန့်ကျင်,6
21,၌,တည်ရှိ,6
22,၌,တွေ့ဆုံ,6
23,၌,တိုက်ခိုက်,6
24,၌,ထား,6
25,၌,ထိန်းသိမ်း,6
26,၌,ပြင်းထန်,6
27,၌,ပြုလုပ်,6
28,၌,ပြောင်းလဲ,6
29,၌,ဖမ်းဆီး,6
30,၌,အောင်မြင်,6
31,၌,ကျော်,5
32,၌,တင်,5
33,၌,ထုတ်လုပ်,5
34,၌,ပစ်ခတ်,5
35,၌,ပိတ်,5
36,၌,ဖော်ပြ,5
37,၌,လောင်,5
38,၌,ကန့်ကွက်,4
39,၌,ကျ,4
40,၌,စီစဉ်,4
41,၌,ဆောင်ရွက်,4
42,၌,တားမြစ်,4
43,၌,ထိခိုက်,4
44,၌,ထုတ်,4
45,၌,ထုတ်ဖော်,4
46,၌,ပျက်,4
47,၌,ပို,4
48,၌,ပိုမို,4
49,၌,များ,4
50,၌,မွေးဖွား,4
51,၌,သိ,4
52,၌,အစီရင်ခံ,4
53,၌,ဦးဆောင်,4
54,၌,ကွယ်လွန်,3
55,၌,ခံစား,3
56,၌,ချ,3
57,၌,စစ်ဆေး,3
58,၌,စမ်းသပ်,3
59,၌,ဆုံးဖြတ်,3
60,၌,တင်ပြ,3
61,၌,တိုက်,3
62,၌,တိုးတက်,3
63,၌,ထည့်,3
64,၌,ထမ်းဆောင်,3
65,၌,ပစ်,3
