,count,count,count
value,တွင်,မှာ,၌
value_pair,,,
Answers.com,1.0,,
C,1.0,,
CAW,,1.0,
CentralWorld,1.0,,
GMT,2.0,,
II,1.0,,
TMZ.com,,1.0,
UTC,1.0,,
cbs2chicago.com,,1.0,
www.icftu.org,1.0,,
ကက်စ်,2.0,,
ကက်ထရီနာ,,1.0,
ကင်ဂေရီ,1.0,,
ကင်စတန်,1.0,,
ကင်ဆာ,1.0,,
ကင်ညာ,2.0,,
ကင်ဘာရာ,1.0,,
ကင်ရှာဆာ,1.0,,
ကင်းစဝေး,,1.0,
ကင်းဒန်,1.0,,
ကင်းဒန်း,1.0,,
ကင်းဒမ်း,5.0,1.0,
ကစားကွက်,1.0,,
ကစားကွင်း,4.0,2.0,
ကစားချိန်,2.0,,
ကစားပုံ,1.0,,
ကစားပွဲ,6.0,1.0,1.0
ကစားပွဲစဉ်,1.0,,
ကစားပွဲစဥ်,1.0,,
ကဇာတ်ရုံ,,,1.0
ကဏ္ဍ,13.0,4.0,1.0
ကတိ,,,1.0
ကတိကဝတ်,,1.0,
ကနဦး,1.0,,2.0
ကနေဒါ,5.0,10.0,
ကန်,4.0,,1.0
ကန်ဒဟာ,1.0,,
ကန်ဒါဟာ,,1.0,
ကန်နင်းဝေါ့ခ်,1.0,,
ကန်ဘာရာ,1.0,,1.0
ကပ်ပပ်ကီး,1.0,,
ကပ်ဘေး,1.0,,
ကပြောင်းကပြန်,1.0,,
ကဗျာ,2.0,,
ကဗျာရှည်,1.0,,
ကဘူး,1.0,1.0,
ကဘူးလ်,1.0,1.0,
ကမ္ဘာ,16.0,10.0,1.0
ကမ္ဘာကြီး,,1.0,
ကမ္ဘာတဝှမ်း,1.0,,
ကမ္ဘာလုံး,1.0,1.0,1.0
ကမ္ဘောဒီးယား,1.0,,
ကမ်ဘာလဲန်း,1.0,,
ကမ်းခြေ,9.0,4.0,1.0
ကမ်းစပ်,2.0,,
ကမ်းနား,2.0,,
ကမ်းပါး,1.0,,
ကမ်းဘရီးရာ,,,1.0
ကမ်းမြောင်ဒေသ,4.0,,
ကမ်းမြှောင်,1.0,,
ကမ်းရိုးတန်း,8.0,,1.0
ကမ်းရိုးတန်းပိုင်း,1.0,,
ကမ်းလွန်,2.0,,
ကယ်ဂလိုရီး,1.0,,
ကယ်လီဒိုးနီးယား,2.0,,
ကယ်လီဖိုးနီးယား,7.0,1.0,1.0
ကရကတ်,,,1.0
ကရိယာ,1.0,,1.0
ကရီဂါဗွန်,1.0,,
ကလက်စစ်,,1.0,
ကလန်နာရောင်း,1.0,,
ကလပ်,1.0,3.0,
ကလီစာ,,,1.0
ကလေး,2.0,3.0,
ကလေးပေါင်း,,1.0,
ကလေးသူငယ်,1.0,,
ကာကပ်,1.0,,
ကာကွယ်ဆေး,1.0,,
ကာကွယ်ရေး,1.0,,1.0
ကာစ,1.0,,
ကာစီနို,1.0,,
ကာဇက်စတန်,1.0,,
ကာတန်,,1.0,
ကာတာ,3.0,,
ကာဒစ်,2.0,,
ကာဒစ်ဖ်,,1.0,
ကာနက်ဇ်,1.0,,
ကာနယ်,4.0,,
ကာနာဗာရယ်,1.0,,
ကာနေဗယ်ပွဲ,1.0,,
ကာဘလာ,1.0,,
ကာရစ်ဘီယန်,1.0,,
ကာရာလာ,1.0,,
ကာရေဘီယံ,,,1.0
ကာလ,22.0,9.0,7.0
ကာလိုင်းလ်,1.0,,
ကာလီဆဲ,1.0,,
ကာ့ဒ်,1.0,,
ကား,5.0,3.0,2.0
ကား-ဗုံး,1.0,,
ကားချပ်,1.0,,
ကားဒစ်,,1.0,
ကားမောင်းပြိုင်ပွဲ,,,1.0
ကားရပ်နားရာနေရာ,1.0,,
ကိစ္စ,36.0,12.0,1.0
ကိစ္စရပ်,6.0,1.0,
ကိတ်ကော့ဒ်,1.0,,
ကိရိယာ,2.0,1.0,
ကိုက်,1.0,,
ကိုင်ရို,2.0,,
ကိုဆိုဗို,2.0,,
ကိုပင်ဟေဂင်,1.0,,
ကိုဘီ,1.0,,
ကိုမာ,,2.0,
ကိုမိုရိုစကီ,1.0,,
ကိုယ်,1.0,,
ကိုယ်ခန္ဓာ,1.0,,
ကိုယ်စားလှယ်,4.0,1.0,2.0
ကိုယ်စားလှယ်လောင်း,1.0,1.0,
ကိုယ်ထည်,1.0,,
ကိုယ်ဝန်ဆောင်ချိန်,,1.0,
ကိုရီးယား,4.0,1.0,1.0
ကိုလမ်ဘီယာ,1.0,,
ကိုလိုရာဒို,,,1.0
ကိုလီဆန်,,1.0,
ကိုလီမင်း,1.0,,
ကိုလံဘီယာ,3.0,1.0,1.0
ကို့စ်,2.0,,
ကီဂါလီ,1.0,,
ကီဘူး,,1.0,
ကီရာလာ,1.0,,
ကီလိုမီတာ,16.0,2.0,
ကီး,,1.0,
ကီးနီး,1.0,,
ကုန်,1.0,1.0,
ကုန်ကျငွေ,,1.0,1.0
ကုန်ကျစားရိတ်,1.0,,
ကုန်စည်ဒိုင်,1.0,,
ကုန်တင်,1.0,,
ကုန်တိုက်,2.0,,
ကုန်တွဲ,1.0,,
ကုန်ပစ္စည်း,1.0,,
ကုန်ပိုင်း,1.0,,
ကုန်လှောင်ရုံ,1.0,1.0,
ကုန်သွယ်ရေး,3.0,,
ကုန်းတွင်းပိုင်း,2.0,,
ကုန်းပတ်,1.0,,
ကုန်းမြင့်,,1.0,
ကုန်းမြေ,2.0,,
ကုမ္ပဏီ,4.0,4.0,4.0
ကုမ်မာ,1.0,,
ကုလသမဂ္ဂ,,1.0,1.0
ကုလားထိုင်,3.0,2.0,
ကူညီရာ,,,1.0
ကူဘီက,1.0,,
ကူရှင်,1.0,,
ကူးစက်တာ,,1.0,
ကူးသန်းရောင်းဝယ်ရေး,,1.0,
ကေကာ်နက်တီကတ်,,1.0,
ကေဘယ်ကြိုး,,1.0,
ကေအက်စ်စီ,1.0,,
ကေအက်စ်အေအိပ်စ်,,1.0,
ကေအန်ကေတီ,1.0,,
ကေအိုရှိုင်း,1.0,,
ကောက်ခံပွဲ,1.0,,
ကောင့်ဒေါင်း,1.0,,
ကောင်စီ,8.0,1.0,1.0
ကောင်စီဝင်လောင်း,,1.0,
ကောင်တာ,1.0,,
ကောင်တီ,3.0,,1.0
ကောင်ရေ,,1.0,
ကောင်းကင်,,,2.0
ကောင်းကင်ကြီး,,1.0,
ကောဆူဇာဖိုင်လို,1.0,,
ကောလဟာလ,1.0,,
ကောလာဟလ,,1.0,
ကောလိပ်,,2.0,1.0
ကော့ဒ်,,,1.0
ကော့ရီရာ-မေးလ်,1.0,,
ကော်ကာ,,1.0,
ကော်နက်တီကတ်,,2.0,
ကော်နယ်,,1.0,
ကော်ပိုရေးရှင်း,2.0,1.0,
ကော်ပီ,1.0,,
ကော်ဖီ,1.0,,
ကော်မတီ,5.0,,1.0
ကော်မရှင်,4.0,,
ကော်လံ,,2.0,1.0
ကော်လ်လိုင်ရီ,,1.0,
ကံကြမ္မာ,1.0,,
ကျန်ချိန်,1.0,,
ကျန်ဒေသ,,1.0,
ကျန်းမာရေး,3.0,,2.0
ကျန်းမာရေးအခြေအနေ,,1.0,
ကျမ်း,1.0,,
ကျရောက်ချိန်,1.0,,
ကျားလေး,1.0,,
ကျိုတို,,1.0,
ကျူးဘား,2.0,1.0,
ကျောကုန်း,1.0,,
ကျောက်ဖြစ်ရုပ်ကြွင်း,1.0,,
ကျောင်း,30.0,9.0,6.0
ကျောင်းသား,3.0,3.0,
ကျေးဇူး,,6.0,
ကျေးရွာ,2.0,,1.0
ကျွန်း,9.0,3.0,5.0
ကျွန်းစု,3.0,1.0,
ကျွန်းဆွယ်,1.0,1.0,
ကျွန်းဆွယ်ပိုင်း,1.0,,
ကြက်တောင်,1.0,,
ကြည့်ရှုခွင့်,,1.0,
ကြမ်းပြင်,2.0,,
ကြသပတေးနေ့,1.0,,
ကြား,34.0,13.0,3.0
ကြားကာလ,2.0,,
ကြားချိန်,1.0,,
ကြားလွှာ,1.0,,
ကြိမ်နှုန်း,,,1.0
ကြိုးပမ်းရာ,1.0,,
ကြူဆာရာ,1.0,,
ကြေညာစာ,1.0,,
ကြေညာထားခံရချိန်,1.0,,
ကြေညာရာ,2.0,,
ကြော,1.0,,
ကြော်ငြာ,10.0,2.0,
ကြော်ငြာချက်,1.0,,
ကြော်ငြာချိန်,1.0,,
ကြေးနန်း,,2.0,
ကြေးမုံ,1.0,,
ကြွက်,3.0,,
ကွက်,1.0,,
ကွင်း,13.0,6.0,15.0
ကွင်းစလန်,1.0,,1.0
ကွင်းစလန်း,2.0,,
ကွင်းစ်လန်,1.0,,
ကွင်းပြင်,,1.0,
ကွင်းပြင်ကြီး,1.0,,
ကွန်ကရစ်,,2.0,
ကွန်ဂရက်,2.0,,1.0
ကွန်တီ,1.0,,
ကွန်ပျူတာ,3.0,1.0,
ကွန်ဗားရှင်း,1.0,,
ကွန်ယက်,2.0,1.0,
ကွန်ရက်,5.0,,
ကွန်းပတ်,,1.0,
ကွာရီယို,1.0,,
ကွိင်းစ်လန်,1.0,,
ကွိုင်းလင်း,,,1.0
ကွီလီရယ်လ်,,1.0,
ကွီးဘက်,1.0,,
ခ,1.0,,
ခဏအတွင်း,,1.0,
ခန့်မှန်းချက်,1.0,2.0,
