,count,count,count
value,တွင်,မှာ,၌
value_pair,,,
ကဏ္ဍ,13.0,,
ကမ္ဘာ,16.0,,
ကာလ,22.0,,
ကိစ္စ,36.0,12.0,
ကီလိုမီတာ,16.0,,
ကျောင်း,30.0,,
ကြား,34.0,13.0,
ကွင်း,13.0,,15.0
ခရိုင်,16.0,,
ခုနှစ်,420.0,31.0,16.0
စခန်း,22.0,,
စင်တာ,12.0,,
စစ်ပွဲ,15.0,,
စနစ်,18.0,,
စာ,58.0,,
စာမျက်နှာ,12.0,,
စာရင်း,35.0,,
ဆိုင်ရာ,15.0,,
ဆေးရုံ,22.0,,17.0
ဈေးကွက်,12.0,,
ည,23.0,,
ညီလာခံ,20.0,,
ဌာန,17.0,,
တက္ကသိုလ်,12.0,,11.0
တစ်လျှောက်,30.0,,
တစ်ဝက်,22.0,,
တရား,16.0,,
တရားရုံး,37.0,,15.0
တောင်ပိုင်း,13.0,,
ဒေသ,73.0,13.0,
နယူးဇီလန်,12.0,,
နယ်ပယ်,19.0,,
နယ်မြေ,47.0,,
နာရီ,54.0,18.0,13.0
နိုင်ငံ,195.0,31.0,20.0
နေရာ,264.0,105.0,40.0
နောက်,30.0,16.0,
နောက်ကွယ်,12.0,,
နောက်ဆုံး,59.0,20.0,
နောက်ပိုင်း,99.0,13.0,
နေ့,616.0,63.0,29.0
နံနက်,23.0,,
နှစ်,105.0,33.0,
နှုန်း,,11.0,
နှောင်းပိုင်း,17.0,,
ပတ်ဝန်းကျင်,17.0,,
ပန်းခြံ,12.0,,
ပုံစံ,12.0,,
ပြည်ထောင်စု,32.0,,
ပြည်နယ်,65.0,14.0,14.0
ပြပွဲ,13.0,,
ပြိုင်ပွဲ,98.0,29.0,16.0
ပွဲ,108.0,34.0,18.0
ပွဲစဉ်,40.0,,
ဖြစ်ရပ်,27.0,,
ဗုံး,15.0,,
ဘက်,11.0,,
ဘေး,13.0,,
မနက်,14.0,,
မိနစ်,64.0,19.0,11.0
မိန့်ခွန်း,18.0,,
မိုင်,11.0,,
မီဒီယာ,11.0,,
မြို့,135.0,19.0,23.0
မြို့တော်,33.0,,
မှတ်တမ်း,26.0,,
ယခု,27.0,,
ယနေ့,33.0,,
ယူတီစီ,16.0,,
ရက်,141.0,,11.0
ရာသီ,31.0,,
ရုပ်မြင်သံကြား,12.0,,
ရုံ,13.0,,11.0
ရုံး,17.0,,
ရွေးကောက်ပွဲ,76.0,14.0,
ရှေ့,13.0,,
လ,269.0,30.0,11.0
လန်ဒန်,16.0,,
လမ်း,14.0,,
လမ်းကြောင်း,11.0,,
လုပ်ငန်း,25.0,,
လုပ်ငန်းစဉ်,12.0,,
လူ,23.0,12.0,
လေဆိပ်,13.0,,
လေယာဉ်,19.0,,
လွှတ်တော်,16.0,,
ဝက်ဘ်ဆိုက်,14.0,,
ဝန်းကျင်,32.0,,
သတင်း,37.0,14.0,
သတင်းစာ,17.0,,
သမိုင်း,27.0,,
သီတင်းပတ်,14.0,,
သူ,25.0,53.0,
သြစတြေးလျ,18.0,,
အကျဉ်းထောင်,11.0,,
အကြာ,38.0,,
အကြား,28.0,,
အကွာ,13.0,,
အခမ်းအနား,21.0,,
အချိန်,128.0,36.0,21.0
အခြေအနေ,54.0,18.0,
အင်တာဗျူး,14.0,,
အစ,11.0,,
အစည်းအဝေး,30.0,,15.0
အစိတ်အပိုင်း,12.0,,
အစိုးရ,11.0,,
အစီအစဉ်,49.0,12.0,
အစောပိုင်း,73.0,,
အဆင့်,29.0,,
အဆို,11.0,,
အဆုံး,17.0,12.0,
အတွင်း,87.0,48.0,25.0
အထဲ,13.0,,
အနည်းငယ်,17.0,,
အနာဂတ်,26.0,,
အနီး,55.0,,
အပတ်,16.0,,
အပိုင်း,41.0,,
အပေါ်,84.0,46.0,
အပြင်ဘက်,27.0,,
အပြီး,33.0,,
အဖြစ်,13.0,,
အဖြစ်အပျက်,12.0,,
အဖွဲ့,37.0,,
အဖွဲ့အစည်း,18.0,,
အမေရိကန်,17.0,,
အများအပြား,16.0,,
အမှု,25.0,,
အရာ,,17.0,
အရေအတွက်,,18.0,
အရွယ်,12.0,,
အလုပ်,14.0,14.0,
အသင်း,18.0,11.0,
အသစ်,25.0,,
အိမ်,20.0,,
အီရတ်,35.0,,
အောက်,131.0,41.0,
ဥပဒေ,21.0,,
ဧရိယာ,13.0,,
