,count,count,count
value,တွင်,မှာ,၌
value_pair,,,
က,1.0,,
ကင်း,5.0,2.0,
ကင်းကွာ,1.0,,
ကင်းမဲ့,2.0,,
ကင်းလွတ်,,1.0,
ကင်းလှည့်,3.0,1.0,
ကစား,62.0,26.0,14.0
ကတိပြု,,1.0,
ကန့်ကွက်,7.0,3.0,4.0
ကန့်သတ်,12.0,3.0,
ကန်,4.0,3.0,
ကန်သွင်း,2.0,,
ကပ်,5.0,1.0,
ကပ်ဆိုက်,,1.0,
ကမ်းလှမ်း,5.0,,
ကယ်ဆယ်,8.0,2.0,2.0
ကယ်တင်,2.0,1.0,1.0
ကာကွယ်,10.0,5.0,1.0
ကာကွယ်ဆေးထိုး,,1.0,
ကာကွယ်ပေးနိုင်,1.0,,
ကာလီဟူ,1.0,,
ကားတိုက်,1.0,,
ကိုက်,4.0,2.0,
ကိုက်ညီ,2.0,,
ကိုင်,5.0,2.0,1.0
ကိုင်ဆောင်,1.0,,
ကိုင်တွယ်,2.0,2.0,
ကိုယ်စားပြု,2.0,1.0,
ကိုယ်ထိလက်ရောက်ကျူးလွန်,,1.0,
ကိုယ်ဝန်ဆောင်,1.0,,
ကိုးကား,3.0,1.0,
ကိုးကွယ်,4.0,2.0,
ကု,1.0,1.0,
ကုန်,1.0,1.0,
ကုန်ကူး,,,1.0
ကုန်ကျ,7.0,3.0,
ကုန်ဆုံး,3.0,1.0,1.0
ကုန်လွန်,,1.0,
ကုန်သွယ်,4.0,4.0,
ကုသ,11.0,1.0,1.0
ကုသခံ,,1.0,
ကူညီ,13.0,3.0,2.0
ကူညီပံ့ပိုး,1.0,,
ကူး,2.0,,
ကူးခတ်,1.0,,
ကူးစက်,10.0,2.0,
ကူးစက်ခံ,1.0,,
ကူးစက်တတ်,1.0,,
ကူးဆက်,1.0,,
ကူးယူ,3.0,,
ကူးယူး,,1.0,
ကူးသန်းရောင်းဝယ်,1.0,,
ကောက်ခံ,1.0,,
ကောက်ခံခြင်းခံ,1.0,,
ကောက်ချက်ချ,4.0,,
ကောက်ယူ,3.0,,
ကောင်းစွာ-လူသိများ,1.0,,
ကောင်းလာ,1.0,,
ကော်ဖီသောက်နား,1.0,,
ကံကောင်း,,2.0,1.0
ကျ,25.0,9.0,4.0
ကျက်စား,1.0,,
ကျခံ,2.0,1.0,
ကျင့်,4.0,,
ကျင့်သုံး,3.0,1.0,
ကျင့်သုံးနိုင်,,1.0,
ကျင်လည်,1.0,,
ကျင်းပ,101.0,17.0,9.0
ကျင်းပလျက်ရှိ,1.0,1.0,
ကျဆင်း,27.0,8.0,2.0
ကျဆင်းသွား,2.0,1.0,
ကျဆုံး,3.0,1.0,1.0
ကျန်,19.0,8.0,1.0
ကျန်ရစ်,4.0,,1.0
ကျန်ရှိ,3.0,1.0,
ကျန်ရှိဆဲ,2.0,,
ကျန်းမာ,1.0,,
ကျန်းမာရေးစောင့်ရှောက်,1.0,,
ကျမ်းကျိန်,1.0,,
ကျမ်းကျိန်ဆို,1.0,,
ကျမ်းသစ္စာကျိန်ဆို,1.0,,
ကျယ်လောင်,,,1.0
ကျရောက်,1.0,,
ကျရှုံး,5.0,,
ကျိန်ဆို,1.0,,
ကျို,1.0,,
ကျိုး,2.0,,
ကျိုးကျ,1.0,,
ကျိုးကြောင်းညီညွတ်,1.0,,
ကျိုးပဲ့,1.0,,
ကျိုးသွား,1.0,,
ကျူးကျော်,4.0,1.0,
ကျူးလွန်,12.0,6.0,1.0
ကျေနပ်,,1.0,
ကျေအေး,2.0,,
ကျောက်ချ,2.0,,
ကျောင်းပိတ်,,,1.0
ကျောင်းအပ်,,2.0,
ကျော်,50.0,7.0,5.0
ကျော်ကြား,3.0,3.0,
ကျော်စော,,,1.0
ကျော်ဇော,1.0,,
ကျော်တက်,1.0,,
ကျော်တက်နိုင်,1.0,,
ကျော်ထွက်,1.0,,
ကျော်ဖြတ်,6.0,,
ကျော်လွန်,1.0,1.0,
ကျော်လွှား,2.0,1.0,
ကျွမ်းကျင်,5.0,3.0,2.0
ကြည့်,9.0,3.0,
ကြည့်ရူ,1.0,,
ကြည့်ရှု,3.0,,
ကြည်လင်ပြတ်သား,1.0,,
ကြန့်ကြာ,1.0,1.0,
ကြပ်,1.0,,
ကြပ်မတ်,1.0,,
ကြမ်းတမ်း,4.0,,
ကြာ,40.0,7.0,2.0
ကြာခဲ့,,1.0,
ကြာမြင့်,,1.0,
ကြာရှည်,4.0,1.0,
ကြား,6.0,3.0,2.0
ကြားညပ်,1.0,,
ကြားဝင်,7.0,,
ကြိုက်,5.0,3.0,1.0
ကြိုဆို,2.0,2.0,1.0
ကြိုးကိုင်ချယ်လှယ်,,,1.0
ကြိုးချည်,1.0,,
ကြိုးစား,10.0,3.0,
ကြိုးစားအားထုတ်,1.0,,
ကြိုးဆွဲချ,,,1.0
ကြိုးဆွဲထား,,,1.0
ကြိုးတုပ်,1.0,,
ကြိုးပမ်,1.0,,
ကြိုးပမ်း,7.0,4.0,1.0
ကြိုးပေး,,,1.0
ကြိုးပေးသတ်,1.0,,
ကြိူးပမ်း,,1.0,
ကြီး,2.0,,
ကြီးကြပ်,1.0,2.0,
ကြီးစိုးလာ,,1.0,
ကြီးထွား,3.0,4.0,
ကြီးပြင်း,1.0,1.0,
ကြီးမြတ်,,1.0,
ကြုံ,3.0,2.0,
ကြုံတွေ့,2.0,,
ကြေညာ,25.0,10.0,
ကြောက်,,1.0,
ကြောက်မက်,2.0,,
ကြောက်ရွံ့,1.0,,
ကြောက်ရွှံ့,1.0,,
ကြောက်လန့်,1.0,2.0,
ကြော်ငြာ,36.0,8.0,2.0
ကြဲ,2.0,,
ကြံရွယ်,,1.0,
ကြွေးတင်,1.0,,
ကွပ်ကဲ,1.0,,
ကွပ်မျက်,1.0,,
ကွယ်ပျောက်,1.0,,
ကွယ်လွန်,25.0,2.0,3.0
ကွယ်ဝှက်,1.0,,
ကွာခြား,1.0,1.0,
ကွာရှင်း,1.0,,
ကွာဟ,1.0,,
ကွေ,1.0,,
ကွဲ,,1.0,
ကွဲကြေ,,,1.0
ကွဲပြား,12.0,3.0,1.0
ကွဲပြားခြားနားသွား,,1.0,
ကွဲလွဲ,1.0,,
ခင်မင်,,1.0,
ခဏ,1.0,,
ခန့်,2.0,1.0,
ခန့်မှန်း,17.0,3.0,
ခန့်အပ်,5.0,,
ခန့်အပ်ခြင်းခံ,1.0,,
ခမ်းနား,,1.0,
ခရီးသွား,8.0,3.0,
ခရီးသွားခဲ့ကြ,1.0,,
ခဝါချ,1.0,,
ခါးထိမြင့်,1.0,,
ခါးသီး,1.0,,
ခိုင်ခံ့,1.0,,
ခိုင်မာ,3.0,1.0,
ခိုင်မြဲ,1.0,,
ခိုင်လုံ,1.0,,
ခိုင်လုံတိကျ,1.0,,
ခိုင်း,2.0,,
ခိုင်းစေ,1.0,,
ခိုလုံ,,,1.0
ခိုလှုံ,1.0,,
ခိုး,7.0,,1.0
ခိုးကူး,,1.0,
ခိုးယူ,1.0,,
ခိုးဝှက်,1.0,,
ခုခံ,12.0,,
ခုခံချေပ,,1.0,
ခုန်,3.0,1.0,
ခုန်ချ,1.0,,
ခုန်ဆင်း,1.0,1.0,
ခုန်တက်,1.0,,
ခုံလှုံ,1.0,,
ခုံး,1.0,,
ခေတ်မစား,1.0,,
ခေါက်,1.0,,
ခေါင်းချင်းဆိုင်,3.0,,
ခေါင်းဆောင်,3.0,,1.0
ခေါင်းပုံဖြတ်,,1.0,
ခေါင်းရိုက်,1.0,,
ခေါ်,14.0,1.0,1.0
ခေါ်ဆို,,1.0,
ခေါ်ဆောင်,4.0,,
ခေါ်တွင်,2.0,,
ခေါ်ထုတ်,1.0,,
ခေါ်ယူ,1.0,,
ခဲ,1.0,,
ခံ,2.0,3.0,
ခံစား,20.0,5.0,3.0
ခံစားရ,1.0,,
ချ,6.0,2.0,3.0
ချက်ပြုတ်,1.0,,
ချစ်,1.0,,
ချစ်မြတ်နိုး,,1.0,1.0
ချဉ်းကပ်,2.0,,
ချည်,3.0,,
ချန်,5.0,1.0,
ချန်ထား,,,1.0
ချန်လှပ်,1.0,,
ချမ်းသာဆုံး,1.0,,
ချမှတ်,8.0,7.0,1.0
ချမှတ်ထား,1.0,,
ချိတ်,1.0,,
ချိတ်ဆက်,11.0,,1.0
ချိတ်ဆွဲ,1.0,,
ချိတ်ပိတ်,1.0,,
ချိတ်မိ,1.0,,
ချို့တဲ့,1.0,1.0,
ချို့ယွင်း,4.0,1.0,
ချို့ယွင်းသွား,1.0,,
ချိုး,3.0,1.0,
ချိုးဖောက်,9.0,3.0,1.0
ချီတက်,4.0,3.0,
ချီတတ်,1.0,,
ချီးကျူး,,1.0,1.0
ချီးမြင့်,1.0,,
ချီးမြှင့်,1.0,1.0,
ချီးမြှင့်အပ်နှင်း,,,1.0
ချီးမွမ်း,1.0,,
ချုပ်ကိုင်,,,1.0
ချုပ်ဆို,1.0,,
ချုပ်ဆိုထား,1.0,,
ချုပ်နှောင်,3.0,,
ချုံခို,1.0,,
ချေပ,4.0,,
ချော်,1.0,1.0,
ချေး,1.0,,
ချေးငှား,2.0,,
ချဲ့,,,1.0
ချဲ့ထွင်,2.0,1.0,
ချွတ်ခိုင်း,1.0,,
