value,dwin,hnai
နေရာ,264,40
နေ့,616,29
အတွင်း,87,25
မြို့,135,23
အချိန်,128,21
နိုင်ငံ,195,20
ပွဲ,108,18
ဆေးရုံ,22,17
ခုနှစ်,420,16
ပြိုင်ပွဲ,98,16
ကွင်း,13,15
တရားရုံး,37,15
အစည်းအဝေး,30,15
ပြည်နယ်,65,14
နာရီ,54,13
လ,269,11
မိနစ်,64,11
ရက်,141,11
ရုံ,13,11
တက္ကသိုလ်,12,11
ယူတီစီ,16,10
နောက်ဆုံး,59,8
ညီလာခံ,20,8
ဟိုတယ်,8,8
အပေါ်,84,7
ဒေသ,73,7
ကာလ,22,7
အဆင့်,29,7
လေဆိပ်,13,7
စင်တာ,12,7
အောက်,131,6
အဆုံး,17,6
ကျောင်း,30,6
အဖွဲ့အစည်း,18,6
နှစ်,105,5
နောက်ပိုင်း,99,5
အစီအစဉ်,49,5
လူ,23,5
အီရတ်,35,5
အစောပိုင်း,73,5
စာ,58,5
ဝန်းကျင်,32,5
လွှတ်တော်,16,5
ရာခိုင်နှုန်း,10,5
စခန်း,22,5
ပြည်ထောင်စု,32,5
ဌာန,17,5
ကျွန်း,9,5
ပွဲတော်,9,5
အခြေအနေ,54,4
နောက်,30,4
အသင်း,18,4
အိမ်,20,4
အစ,11,4
ည,23,4
တစ်ဝက်,22,4
လန်ဒန်,16,4
လုပ်ငန်း,25,4
မြို့တော်,33,4
ကုမ္ပဏီ,4,4
ဧရိယာ,13,4
စက်ရုံ,6,4
အမှု,25,4
ပါလီမန်,9,4
ပါကစ္စတန်,6,4
နေအိမ်,10,4
စံတော်ချိန်,8,4
ကြား,34,3
မနက်,14,3
ထိပ်ဆုံး,3,3
အနီး,55,3
အခမ်းအနား,21,3
အကြား,28,3
ဗုံး,15,3
အာဖဂန်နစ္စတန်,10,3
အနီးအနား,9,3
အင်တာဗျူး,14,3
အရွယ်,12,3
ရပ်ကွက်,4,3
မိုင်,11,3
မနက်ပိုင်း,6,3
ဒေသတွင်း,5,3
ပင်လယ်ကွေ့,5,3
ခန်းမ,4,3
သစ်တော,2,3
ဘရာဇီး,,3
ရွေးကောက်ပွဲ,76,2
သတင်း,37,2
အနည်းငယ်,17,2
ပွဲစဉ်,40,2
သမိုင်း,27,2
ရှေ့,13,2
နယ်မြေ,47,2
မှတ်တမ်း,26,2
အချက်,2,2
လူမျိုး,1,2
ဖြစ်စဉ်,9,2
ဘုရားကျောင်း,8,2
လမ်းဆုံ,,2
သီတင်းပတ်,14,2
ပန်းခြံ,12,2
ကား,5,2
ပင်လယ်ပြင်,3,2
အမှတ်,3,2
အမိန့်,2,2
ယခု,27,2
နံနက်,23,2
နယ်ပယ်,19,2
လေယာဉ်,19,2
တောင်ပိုင်း,13,2
လုပ်ငန်းစဉ်,12,2
သတ္တုတွင်း,7,2
စကော့တလန်,6,2
ပထမပိုင်း,6,2
လက်,6,2
ပင်လယ်,5,2
အီရန်,4,2
နောက်ကွယ်,12,2
ရုပ်မြင်သံကြား,12,2
အလယ်ပိုင်း,10,2
အဆောက်အဦး,7,2
ပေ,5,2
ကိုယ်စားလှယ်,4,2
လုပ်ငန်းခွင်,4,2
တစ်ဝန်း,3,2
နေ့ရက်,3,2
နိုဝင်ဘာ,1,2
အိုလံပစ်,1,2
အကျဉ်းထောင်,11,2
စီမံကိန်း,10,2
အခါ,8,2
ဂျပန်,5,2
မုန်တိုင်း,5,2
အင်္ဂလန်,5,2
အလို,5,2
ကျန်းမာရေး,3,2
ဗလီ,3,2
ကနဦး,1,2
ရဲတိုက်,1,2
လူဇင်ဘတ်,1,2
ကောင်းကင်,,2
ဟိုနိုလုလု,,2
အဘူဒါဘီ,,2
အရေအတွက်,8,1
ကိစ္စ,36,1
နှုန်း,5,1
ရာသီ,31,1
ကမ္ဘာ,16,1
အဖွဲ့,37,1
စာရင်း,35,1
အထဲ,13,1
ဒဏ်ရာ,3,1
သတင်းစာ,17,1
ဆိုင်ရာ,15,1
အဆို,11,1
ဖြစ်ရပ်,27,1
ဥပဒေ,21,1
စနစ်,18,1
အစိုးရ,11,1
အန္တရာယ်,7,1
လူဦးရေ,2,1
ညနေ,7,1
မြေပြင်,6,1
တစ်လျှောက်,30,1
ရုံး,17,1
လမ်း,14,1
ကဏ္ဍ,13,1
နယူးဇီလန်,12,1
ကမ်းခြေ,9,1
မေးခွန်း,8,1
အမေရိက,6,1
သေနတ်,5,1
သင်္ဘော,4,1
သက်သေ,3,1
စစ်ပွဲ,15,1
ပုံစံ,12,1
တိုင်းပြည်,9,1
ဆိုင်,8,1
ပြင်သစ်,7,1
အကွာအဝေး,7,1
ခုနစ်,6,1
အနေအထား,6,1
အရပ်,6,1
အချက်အလက်,5,1
အကြောင်းအရာ,4,1
တွင်း,3,1
ရာသီဥတု,2,1
အဖွဲ့ဝင်,2,1
ရာစုနှစ်,1,1
အပြီး,33,1
မိန့်ခွန်း,18,1
သြစတြေးလျ,18,1
နှောင်းပိုင်း,17,1
ပြပွဲ,13,1
ဈေးကွက်,12,1
အဖြစ်အပျက်,12,1
ဆောင်းပါး,9,1
လိုင်း,9,1
အားကစား,7,1
ဘဂ္ဂဒက်,6,1
အဆောက်အအုံ,6,1
မီး,5,1
စီ,4,1
ဆန္ဒ,4,1
တောင်ဘက်,4,1
မှတ်,4,1
အောက်တိုဘာ,4,1
စီးပွားရေး,3,1
မဲရုံ,3,1
ရင်ပြင်,3,1
အိမ်တော်,3,1
လူနာ,2,1
အကျဥ်းထောင်,2,1
ခွင့်,1,1
ဌာနချုပ်,1,1
မိုင်းတွင်း,1,1
အသင်းတော်,1,1
ကောလိပ်,,1
ကော်လံ,,1
ဗျူရို,,1
လက်မောင်း,,1
ဘေး,13,1
အစိတ်အပိုင်း,12,1
ဆိပ်ကမ်း,10,1
အသက်,10,1
အာဖရိက,10,1
ကောင်စီ,8,1
ဂျီအမ်တီ,8,1
တိုက်ပွဲ,8,1
ဥရောပ,8,1
ကယ်လီဖိုးနီးယား,7,1
ဒုတိယပိုင်း,7,1
အွန်လိုင်း,7,1
ဩစတြေးလျ,7,1
ကစားပွဲ,6,1
ချန်ပီယံရှစ်,5,1
ဂျာမနီ,5,1
ဆယ်စုနှစ်,5,1
ထိပ်,5,1
ပို့စ်,5,1
ရောဂါ,5,1
ဦးနှောက်,5,1
ကိုရီးယား,4,1
စပိန်,4,1
ပဋိပက္ခ,4,1
ရွာ,4,1
အနှံ့အပြား,4,1
ကိုလံဘီယာ,3,1
ဂါဇာ,3,1
စိုက်ပျိုးရေး,3,1
ညနေပိုင်း,3,1
မွန်းလွဲပိုင်း,3,1
ရုရှား,3,1
အမြင့်,3,1
စွမ်းရည်,2,1
တစ်စိတ်တစ်ပိုင်း,2,1
ပညာရေး,2,1
အတွင်းပိုင်း,2,1
အာဏာ,2,1
ကမ္ဘာလုံး,1,1
ဓာတ်ပုံ,1,1
အီးအက်စ်တီ,1,1
ဥမင်,1,1
ကုန်ကျငွေ,,1
ကုလသမဂ္ဂ,,1
စစ်မြေပြင်,,1
စားပွဲ,,1
တွန်းအား,,1
နယူး,,1
ဖီလာဒဲဖီးယား,,1
ဘေဂျင်း,,1
ယူအက်စ်ဒီအေ,,1
ရဟတ်ယာဉ်,,1
လမ်းခွဲ,,1
လမ်းပေါ်,,1
လူးဝစ်,,1
လျှပ်စစ်,,1
အန်ဝိုင်အက်အီး,,1
အသုဘ,,1
အကွာ,13,1
ဝက်ဆိုဒ်,10,1
အခန်း,10,1
နိုင်ငံရေး,9,1
ကမ်းရိုးတန်း,8,1
တရုတ်,8,1
ဗြိတိန်,8,1
မေးမြန်းခန်း,7,1
အလယ်,7,1
ပြေးလမ်း,6,1
ဗိုလ်လုပွဲ,6,1
အိန္ဒိယ,6,1
ကော်မတီ,5,1
ဆေးခန်း,5,1
