value,dwin,hnai
ရှိ,488,65
ဖြစ်,316,38
သေဆုံး,169,33
ကစား,62,14
ပါဝင်,255,13
ဖြစ်ပွား,125,13
ရရှိ,121,12
တွေ့,63,12
အသုံးပြု,62,12
စတင်,126,11
နေထိုင်,73,9
ကျင်းပ,101,9
ရောက်,65,9
ပြော,61,9
လုပ်,55,8
ပေါက်ကွဲ,51,7
လုပ်ဆောင်,56,7
ပြောကြား,71,7
ရှာဖွေ,38,7
တိုက်ခိုက်,83,6
ပြုလုပ်,84,6
ဖမ်းဆီး,60,6
တည်ရှိ,62,6
ထိန်းသိမ်း,31,6
ထား,32,6
ပြောင်းလဲ,25,6
ပြင်းထန်,28,6
တွေ့ဆုံ,25,6
ဆန့်ကျင်,36,6
အောင်မြင်,28,6
ဖော်ပြ,76,5
တင်,23,5
ပစ်ခတ်,20,5
လောင်,7,5
ကျော်,50,5
ပိတ်,31,5
ထုတ်လုပ်,23,5
များ,43,4
ပို,40,4
ဦးဆောင်,43,4
ထုတ်,51,4
ကျ,25,4
သိ,20,4
ပိုမို,29,4
ထိခိုက်,24,4
မွေးဖွား,27,4
စီစဉ်,20,4
အစီရင်ခံ,14,4
ဆောင်ရွက်,20,4
ကန့်ကွက်,7,4
တားမြစ်,5,4
ပျက်,20,4
ထုတ်ဖော်,4,4
ရ,69,3
ဆုံးဖြတ်,20,3
အဆုံးသတ်,21,3
အနိုင်ရ,40,3
ယှဉ်ပြိုင်,18,3
လိုအပ်,12,3
ယူ,27,3
တိုးတက်,26,3
ပေါ်,25,3
ထမ်းဆောင်,26,3
စမ်းသပ်,19,3
လက်ခံ,16,3
ခံစား,20,3
တိုက်,31,3
စစ်ဆေး,20,3
တင်ပြ,20,3
လွန်,19,3
သဘောတူ,28,3
သက်ရောက်,25,3
ရှင်းလင်း,14,3
ကွယ်လွန်,25,3
ချ,6,3
လိုက်နာ,6,3
ပျော်,,3
ထည့်,22,3
ပစ်,10,3
ဖောက်ခွဲ,3,3
လှုပ်,2,3
ပေး,62,2
လုံခြုံ,36,2
လာ,28,2
တူညီ,16,2
တရားဝင်,29,2
ကြော်ငြာ,36,2
ကျဆင်း,27,2
ကြာ,40,2
ဆုံးရှုံး,21,2
တည်ဆောက်,20,2
တက်,14,2
သေ,12,2
ရွေးချယ်,18,2
သွင်း,14,2
ထုတ်ပြန်,38,2
ပိုင်ဆိုင်,14,2
အငြင်းပွား,11,2
ခွဲခြား,5,2
ဝင်ရောက်,33,2
သတ်,20,2
ထိန်းချုပ်,19,2
ရပ်တည်,12,2
ဝန်ဆောင်,11,2
မှတ်တမ်းတင်,9,2
ရှုံးနိမ့်,20,2
အုပ်ချုပ်,14,2
ကူညီ,13,2
ထင်ရှား,12,2
ပြိုကျ,7,2
ကြား,6,2
ကျွမ်းကျင်,5,2
ပြန်လာ,5,2
ဆွေးနွေး,26,2
အခြေစိုက်,16,2
ဖယ်ရှား,13,2
လေ့လာ,12,2
စောင့်,9,2
ကယ်ဆယ်,8,2
အသက်ရှင်,8,2
စုဝေး,6,2
သက်ဆိုင်,6,2
တက်ရောက်,4,2
မျှော်မှန်း,4,2
ရေတွက်,4,2
စံချိန်တင်,1,2
ပျံသန်း,14,2
နိုင်,13,2
ပြန်ပေးဆွဲ,13,2
တည်ထောင်,12,2
တင်သွင်း,11,2
